日付,摘要,出金額,入金額,残高
2025/11/04,AD,0,66360,987620
2025/11/04,AD,0,59260,1046880
2025/11/04,AD,0,65200,1112080
2025/11/04,AD,0,71010,1183090
2025/11/05,AD,0,44380,1227470
2025/11/06,AD,0,60190,1287660
2025/11/07,AD,0,31210,1318870
2025/11/07,CD,150000,0,1168870
2025/11/07,ATM振込 カ)アオギリコーポレー,1168870,0,0
2025/11/10,AD,0,51030,51030
2025/11/10,AD,0,75380,126410
2025/11/10,AD,0,50340,176750
2025/11/11,AD,0,67230,243980
2025/11/12,AD,0,46710,290690
2025/11/13,AD,0,10620,301310
2025/11/14,AD,0,34980,336290
2025/11/17,AD,0,77310,413600
2025/11/17,AD,0,87070,500670
2025/11/17,AD,0,83382,584052
2025/11/18,AD,0,29120,613172
2025/11/19,AD,0,54110,667282
2025/11/20,AD,0,88720,756002
2025/11/21,AD,0,27410,783412
2025/11/25,AD,0,52500,835912
2025/11/25,AD,0,56780,892692
2025/11/25,AD,0,77880,970572
2025/11/25,AD,0,13000,983572
2025/11/26,AD,0,66790,1050362
2025/11/27,AD,0,60490,1110852
2025/11/28,AD,0,30120,1140972
2025/12/01,AD,0,124460,1265432
2025/12/01,AD,0,54790,1320222
2025/12/01,AD,0,74280,1394502
2025/12/02,AD,0,68750,1463252
2025/12/03,AD,0,28150,1491402
2025/12/04,AD,0,51950,1543352
2025/12/05,AD,0,32360,1575712
2025/12/08,ATM振込 カ)アオギリコーポレー,1575712,0,0
2025/12/08,AD,0,85340,85340
2025/12/08,AD,0,75060,160400
2025/12/08,AD,0,44210,204610
2025/12/09,AD,0,47560,252170
2025/12/10,AD,0,60300,312470
2025/12/11,AD,0,48130,360600
2025/12/12,AD,0,78350,438950
2025/12/15,AD,0,37020,475970
2025/12/15,AD,0,65000,540970
2025/12/15,AD,0,103420,644390
2025/12/16,AD,0,50340,694730
2025/12/17,AD,0,45210,739940
2025/12/18,CD,150000,0,589940
2025/12/18,AD,0,83630,673570
2025/12/19,AD,0,55180,728750
2025/12/22,AD,0,53590,782340
2025/12/22,AD,0,112060,894400
2025/12/22,AD,0,78040,972440
2025/12/22,AD,0,1000,973440
2025/12/23,AD,0,56690,1030130
2025/12/24,AD,0,132440,1162570
2025/12/25,AD,0,33910,1196480
2025/12/26,AD,0,72330,1268810
2025/12/29,AD,0,125250,1394060
2025/12/29,AD,0,112500,1506560
2025/12/29,AD,0,65520,1572080
